id;start_date;end_date;language
1;2019-10-23T08:27:52;2019-10-23T01:36:09;FRENCH
2;2019-10-23T09:57:57;2019-10-22T19:04:07;ENGLISH
3;2019-10-23T05:30:02;2019-10-22T20:54:02;SPANISH
4;2019-10-22T18:41:53;2019-10-23T02:08:55;ENGLISH
5;2019-10-23T03:40:32;2019-10-23T08:24:41;FRENCH
6;2019-10-23T09:57:33;2019-10-23T11:14:29;ENGLISH
7;2019-10-22T19:19:52;2019-10-23T08:00:39;FRENCH
8;2019-10-22T16:51:11;2019-10-23T00:51:20;ENGLISH
9;2019-10-23T02:39:17;2019-10-23T11:03:55;SPANISH
10;2019-10-23T05:57:27;2019-10-23T03:13:42;FRENCH
